dataset,fold,config,n_classes,cal_size,test_size,base_logloss,base_brier,base_accuracy,base_ece-15,guo_ts_logloss,guo_ts_brier,guo_ts_accuracy,guo_ts_ece-15,guo_ts_time,prob_ts_logloss,prob_ts_brier,prob_ts_accuracy,prob_ts_ece-15,prob_ts_time,torch_ts_logloss,torch_ts_brier,torch_ts_accuracy,torch_ts_ece-15,torch_ts_time,svs_logloss,svs_brier,svs_accuracy,svs_ece-15,svs_time,torch_vs_logloss,torch_vs_brier,torch_vs_accuracy,torch_vs_ece-15,torch_vs_time,sms_logloss,sms_brier,sms_accuracy,sms_ece-15,sms_time,torch_ms_logloss,torch_ms_brier,torch_ms_accuracy,torch_ms_ece-15,torch_ms_time,dir_ms_logloss,dir_ms_brier,dir_ms_accuracy,dir_ms_ece-15,dir_ms_time
volcanoes-d4,1,XGBoost_r119_BAG_L1,5,7788,866,0.24594949185848236,0.0989343598484993,0.943418025970459,0.009014470502734184,0.26116058230400085,0.10161231458187103,0.943418025970459,0.0498475506901741,0.019268915999418823,0.24597017467021942,0.09894763678312302,0.943418025970459,0.008086382411420345,0.003921625000657514,0.24597929418087006,0.0989479273557663,0.943418025970459,0.008009808138012886,0.003304290999949444,0.2463026837926311,0.09898390245049475,0.943418025970459,0.006959814578294754,0.021519208999961847,0.2477271854877472,0.09907489269971848,0.9445727467536926,0.009302210062742233,0.010517374999835738,0.2442637767998134,0.09875362248210313,0.943418025970459,0.011602330021560192,0.03675745799955621,0.24478599429130554,0.0987352728843689,0.943418025970459,0.015386585146188736,0.04157462500006659,0.24411293795767264,0.0987569247895042,0.943418025970459,0.011050908826291561,0.17241333400124859
volcanoes-d4,1,NeuralNetFastAI_r155_BAG_L1,5,7788,866,0.24539536237716675,0.09991803765296936,0.943418025970459,0.01424260064959526,0.2572835385799408,0.10244856774806976,0.943418025970459,0.04386860877275467,0.018451459000061732,0.24535813927650452,0.09991613775491714,0.943418025970459,0.014121134765446186,0.0038956249991315417,0.2453734129667282,0.09991659224033356,0.943418025970459,0.014189416542649269,0.002103374999933294,0.24537141722888484,0.09990207434970814,0.943418025970459,0.011163990944623947,0.01928287500049919,0.24584561586380005,0.10014047473669052,0.943418025970459,0.013110886327922344,0.012807707998945261,0.24528446551686817,0.09991370592134594,0.943418025970459,0.013395652174949646,0.10530337499949383,0.24635854363441467,0.09988713264465332,0.943418025970459,0.01435642410069704,0.03607937500055414,0.24504777014894183,0.09994810467843016,0.943418025970459,0.01340198889374733,0.17413200000009965
volcanoes-d4,2,CatBoost_r197_BAG_L1,5,7788,866,0.2505161762237549,0.1009574681520462,0.943418025970459,0.014410466887056828,0.2627509534358978,0.10334792733192444,0.943418025970459,0.04554653912782669,0.019172833999618888,0.25049421191215515,0.10095563530921936,0.943418025970459,0.014867465943098068,0.003881959000864299,0.25050073862075806,0.10095635056495667,0.943418025970459,0.014788195490837097,0.0020958749992132653,0.2503598873827474,0.10093066116271956,0.943418025970459,0.013707360252737999,0.011757582999052829,0.24970367550849915,0.10091780871152878,0.943418025970459,0.01293078064918518,0.008930040999985067,0.24969720367058734,0.10098706408949819,0.943418025970459,0.010980751365423203,0.015666833000068436,0.24847105145454407,0.10088584572076797,0.943418025970459,0.015406160615384579,0.037059708000015235,0.2497078646911237,0.10111969735662711,0.943418025970459,0.014497403055429459,0.17235133400026825
volcanoes-d4,2,LightGBM_r22_BAG_L1,5,7788,866,0.24853362143039703,0.10020578652620316,0.943418025970459,0.007645627483725548,0.26110970973968506,0.10283352434635162,0.943418025970459,0.04268234223127365,0.018011541000305442,0.24857617914676666,0.10021314024925232,0.943418025970459,0.008668933063745499,0.0038720840002497425,0.2485889196395874,0.10021369159221649,0.943418025970459,0.008596733212471008,0.00326274999861198,0.24856826298042575,0.10018175555620752,0.943418025970459,0.008058598265051842,0.008165041999745881,0.24700969457626343,0.10033070296049118,0.943418025970459,0.008378510363399982,0.013433125001029111,0.2475134873064135,0.10008385683628788,0.943418025970459,0.007925374433398247,0.03667483299977903,0.24460504949092865,0.10005892813205719,0.943418025970459,0.008247705176472664,0.04160287500053528,0.24819984780067242,0.10023577979233889,0.943418025970459,0.007498128805309534,0.17339229100070952
volcanoes-d4,2,LinearModel_r7_BAG_L1,5,7788,866,0.24754679203033447,0.10121724009513855,0.9422633051872253,0.01071667205542326,0.2604914605617523,0.1034087985754013,0.9422633051872253,0.042841941118240356,0.018345832999330014,0.24750076234340668,0.10120480507612228,0.9422633051872253,0.009779542684555054,0.0038577089999307645,0.24750150740146637,0.10120542347431183,0.9422633051872253,0.0097085265442729,0.003368708001289633,0.24675513836377014,0.10078360460634693,0.9422633051872253,0.00970136746764183,0.041024750000360655,0.2461041659116745,0.10026644915342331,0.943418025970459,0.008443236351013184,0.01883445899875369,0.2456537407099087,0.1003008713785418,0.943418025970459,0.011745622381567955,0.09967554200011364,0.24368835985660553,0.09965148568153381,0.943418025970459,0.008717672899365425,0.059134000000995,0.24582464792552766,0.09992913190710359,0.943418025970459,0.010473523288965225,0.17076812499908556
volcanoes-d4,2,NeuralNetTorch_r127_BAG_L1,5,7788,866,0.2442025989294052,0.10012191534042358,0.943418025970459,0.0032836515456438065,0.2573215961456299,0.10319746285676956,0.943418025970459,0.04127560928463936,0.019229417001042748,0.24418343603610992,0.10012302547693253,0.943418025970459,0.003697986714541912,0.004076125000210595,0.24419517815113068,0.10012312233448029,0.943418025970459,0.0037835207767784595,0.002153833000193117,0.2439254789524205,0.10005336528027334,0.943418025970459,0.004743634257465601,0.025765459000467672,0.24436108767986298,0.10028810799121857,0.943418025970459,0.005699783563613892,0.013119249999363092,0.24414845693772916,0.10008934031042445,0.943418025970459,0.004748549312353134,0.04930375000003551,0.24436919391155243,0.10033464431762695,0.943418025970459,0.0068229790776968,0.04517958299948077,0.24566293606465128,0.10016535519373977,0.943418025970459,0.005605262704193592,0.17345145900071657
volcanoes-d4,2,RandomForest_r10_BAG_L1,5,7788,866,0.24827945232391357,0.10010112822055817,0.943418025970459,0.006928588263690472,0.2618750333786011,0.10255653411149979,0.943418025970459,0.04076298698782921,0.018129166001017438,0.24832367897033691,0.10011546313762665,0.943418025970459,0.006803090218454599,0.004165166999882786,0.24832691252231598,0.10011592507362366,0.943418025970459,0.006265788339078426,0.0032932499998423737,0.24799555300014664,0.10004039172707603,0.943418025970459,0.0032848443370312452,0.012761457999658887,0.24521219730377197,0.1000853031873703,0.943418025970459,0.009200078435242176,0.024524500000552507,0.2470319683691846,0.10000079716512772,0.943418025970459,0.007741913665086031,0.05951912499949685,0.24347847700119019,0.09985043108463287,0.943418025970459,0.007057561073452234,0.038074791998951696,0.2477574163806466,0.10010792808550141,0.943418025970459,0.007814937271177769,0.17253241700018407
volcanoes-d4,2,XGBoost_r134_BAG_L1,5,7788,866,0.25190818309783936,0.10116071254014969,0.943418025970459,0.012951820157468319,0.2657625675201416,0.10376981645822525,0.943418025970459,0.04242420196533203,0.01979583300089871,0.25206419825553894,0.10117625445127487,0.943418025970459,0.010340684093534946,0.0039032080003380543,0.25207093358039856,0.10117700695991516,0.943418025970459,0.010430610738694668,0.002863249999791151,0.25154890394116985,0.10119139830572983,0.943418025970459,0.011613001115620136,0.013365082999371225,0.2502273917198181,0.10125207901000977,0.943418025970459,0.00974283367395401,0.011369707999620005,0.25040332804400095,0.10128399723497282,0.943418025970459,0.01096850261092186,0.05336683300083678,0.24856528639793396,0.10114173591136932,0.943418025970459,0.008169715292751789,0.03155633300048066,0.2511536659739762,0.10140101842336799,0.943418025970459,0.008759034797549248,0.17365437499938707
volcanoes-d4,2,NeuralNetFastAI_r173_BAG_L1,5,7788,866,0.2441461682319641,0.10033300518989563,0.943418025970459,0.006874936632812023,0.2567633390426636,0.10281095653772354,0.943418025970459,0.03950740396976471,0.018362457998591708,0.24406211078166962,0.10031380504369736,0.943418025970459,0.005275541450828314,0.003870791999361245,0.2440577894449234,0.1003144159913063,0.943418025970459,0.005383647978305817,0.0028967500002181623,0.24388412753832667,0.10033962590490086,0.943418025970459,0.004931090399622917,0.03653820900035498,0.24345408380031586,0.10047653317451477,0.9422633051872253,0.007072235457599163,0.013582125000539236,0.24404406637261325,0.10033509012606662,0.943418025970459,0.006639265920966864,0.09980241600169393,0.24380934238433838,0.10028304904699326,0.9422633051872253,0.005580952391028404,0.04133966699919256,0.24561709723710778,0.10037053902261865,0.943418025970459,0.00833811704069376,0.17472612500023388
volcanoes-e1,0,CatBoost_r60_BAG_L1,5,1064,119,0.37269097566604614,0.15647706389427185,0.9075630307197571,0.038300592452287674,0.3695550262928009,0.15520194172859192,0.9075630307197571,0.04737555608153343,0.013675584001248353,0.37471118569374084,0.15682289004325867,0.9075630307197571,0.04100249335169792,0.0013625419996969867,0.3751097619533539,0.15686944127082825,0.9075630307197571,0.041670963168144226,0.0013372089997574221,0.37435514365657296,0.15691107118492156,0.9075630307197571,0.04151921719312668,0.004553415999907884,0.37551337480545044,0.15798625349998474,0.9075630307197571,0.04623306915163994,0.0049526250004419126,0.3698442917215084,0.15668326840369756,0.9075630307197571,0.04212692752480507,0.012666708000324434,0.3738160729408264,0.16081827878952026,0.8991596698760986,0.045262884348630905,0.02411437500086322,0.3670687480092536,0.157795225559991,0.9075630307197571,0.04353909566998482,0.8858353749983507
