,model,dataset,fold,default_config,tuned_config
205,LinearModel,GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,2,LinearModel_c1_BAG_L1,LinearModel_r31_BAG_L1
206,NeuralNetTorch,GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,2,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r87_BAG_L1
207,RandomForest,GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,2,RandomForest_c1_BAG_L1,RandomForest_r134_BAG_L1
208,XGBoost,GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,2,XGBoost_c1_BAG_L1,XGBoost_r133_BAG_L1
209,NeuralNetFastAI,GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,2,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r173_BAG_L1
210,CatBoost,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,0,CatBoost_c1_BAG_L1,CatBoost_r127_BAG_L1
211,LightGBM,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,0,LightGBM_c1_BAG_L1,LightGBM_r146_BAG_L1
212,LinearModel,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,0,LinearModel_c1_BAG_L1,LinearModel_r31_BAG_L1
213,NeuralNetTorch,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,0,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r150_BAG_L1
214,RandomForest,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,0,RandomForest_c1_BAG_L1,RandomForest_r163_BAG_L1
215,XGBoost,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,0,XGBoost_c1_BAG_L1,XGBoost_r74_BAG_L1
216,NeuralNetFastAI,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,0,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r162_BAG_L1
217,CatBoost,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,1,CatBoost_c1_BAG_L1,CatBoost_r86_BAG_L1
218,LightGBM,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,1,LightGBM_c1_BAG_L1,LightGBM_r66_BAG_L1
219,LinearModel,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,1,LinearModel_c1_BAG_L1,LinearModel_r24_BAG_L1
220,NeuralNetTorch,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,1,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r98_BAG_L1
221,RandomForest,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,1,RandomForest_c1_BAG_L1,RandomForest_r107_BAG_L1
222,XGBoost,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,1,XGBoost_c1_BAG_L1,XGBoost_r94_BAG_L1
223,NeuralNetFastAI,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,1,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r128_BAG_L1
224,CatBoost,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,2,CatBoost_c1_BAG_L1,CatBoost_r62_BAG_L1
225,LightGBM,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,2,LightGBM_c1_BAG_L1,LightGBM_r109_BAG_L1
226,LinearModel,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,2,LinearModel_c1_BAG_L1,LinearModel_r31_BAG_L1
227,NeuralNetTorch,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,2,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r92_BAG_L1
228,RandomForest,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,2,RandomForest_c1_BAG_L1,RandomForest_r17_BAG_L1
229,XGBoost,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,2,XGBoost_c1_BAG_L1,XGBoost_r68_BAG_L1
230,NeuralNetFastAI,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,2,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r156_BAG_L1
231,CatBoost,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,0,CatBoost_c1_BAG_L1,CatBoost_r69_BAG_L1
232,LightGBM,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,0,LightGBM_c1_BAG_L1,LightGBM_r97_BAG_L1
233,LinearModel,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,0,LinearModel_c1_BAG_L1,LinearModel_r14_BAG_L1
234,NeuralNetTorch,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,0,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r53_BAG_L1
235,RandomForest,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,0,RandomForest_c1_BAG_L1,RandomForest_r17_BAG_L1
236,XGBoost,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,0,XGBoost_c1_BAG_L1,XGBoost_r149_BAG_L1
237,NeuralNetFastAI,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,0,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r156_BAG_L1
238,CatBoost,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,1,CatBoost_c1_BAG_L1,CatBoost_r148_BAG_L1
239,LightGBM,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,1,LightGBM_c1_BAG_L1,LightGBM_r157_BAG_L1
240,LinearModel,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,1,LinearModel_c1_BAG_L1,LinearModel_r2_BAG_L1
241,NeuralNetTorch,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,1,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r144_BAG_L1
242,RandomForest,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,1,RandomForest_c1_BAG_L1,RandomForest_r17_BAG_L1
243,XGBoost,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,1,XGBoost_c1_BAG_L1,XGBoost_r74_BAG_L1
244,NeuralNetFastAI,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,1,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r46_BAG_L1
245,CatBoost,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,2,CatBoost_c1_BAG_L1,CatBoost_r21_BAG_L1
246,LightGBM,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,2,LightGBM_c1_BAG_L1,LightGBM_r43_BAG_L1
247,LinearModel,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,2,LinearModel_c1_BAG_L1,LinearModel_r46_BAG_L1
248,NeuralNetTorch,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,2,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r53_BAG_L1
249,RandomForest,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,2,RandomForest_c1_BAG_L1,RandomForest_r17_BAG_L1
250,XGBoost,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,2,XGBoost_c1_BAG_L1,XGBoost_r30_BAG_L1
251,NeuralNetFastAI,GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,2,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r155_BAG_L1
252,CatBoost,Internet-Advertisements,0,CatBoost_c1_BAG_L1,CatBoost_r119_BAG_L1
253,LightGBM,Internet-Advertisements,0,LightGBM_c1_BAG_L1,LightGBM_r76_BAG_L1
254,LinearModel,Internet-Advertisements,0,LinearModel_c1_BAG_L1,LinearModel_r30_BAG_L1
255,NeuralNetTorch,Internet-Advertisements,0,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r53_BAG_L1
256,RandomForest,Internet-Advertisements,0,RandomForest_c1_BAG_L1,RandomForest_r166_BAG_L1
257,XGBoost,Internet-Advertisements,0,XGBoost_c1_BAG_L1,XGBoost_r83_BAG_L1
258,NeuralNetFastAI,Internet-Advertisements,0,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r139_BAG_L1
259,CatBoost,Internet-Advertisements,1,CatBoost_c1_BAG_L1,CatBoost_r107_BAG_L1
260,LightGBM,Internet-Advertisements,1,LightGBM_c1_BAG_L1,LightGBM_r41_BAG_L1
261,LinearModel,Internet-Advertisements,1,LinearModel_c1_BAG_L1,LinearModel_r30_BAG_L1
262,NeuralNetTorch,Internet-Advertisements,1,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r82_BAG_L1
263,RandomForest,Internet-Advertisements,1,RandomForest_c1_BAG_L1,RandomForest_r109_BAG_L1
264,XGBoost,Internet-Advertisements,1,XGBoost_c1_BAG_L1,XGBoost_r187_BAG_L1
265,NeuralNetFastAI,Internet-Advertisements,1,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r42_BAG_L1
266,CatBoost,Internet-Advertisements,2,CatBoost_c1_BAG_L1,CatBoost_r76_BAG_L1
267,LightGBM,Internet-Advertisements,2,LightGBM_c1_BAG_L1,LightGBM_r115_BAG_L1
268,LinearModel,Internet-Advertisements,2,LinearModel_c1_BAG_L1,LinearModel_r30_BAG_L1
269,NeuralNetTorch,Internet-Advertisements,2,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r4_BAG_L1
270,RandomForest,Internet-Advertisements,2,RandomForest_c1_BAG_L1,RandomForest_r166_BAG_L1
271,XGBoost,Internet-Advertisements,2,XGBoost_c1_BAG_L1,XGBoost_r102_BAG_L1
272,NeuralNetFastAI,Internet-Advertisements,2,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r38_BAG_L1
273,CatBoost,OVA_Colon,0,CatBoost_c1_BAG_L1,CatBoost_r167_BAG_L1
274,LightGBM,OVA_Colon,0,LightGBM_c1_BAG_L1,LightGBM_r46_BAG_L1
275,LinearModel,OVA_Colon,0,LinearModel_c1_BAG_L1,LinearModel_r38_BAG_L1
276,NeuralNetTorch,OVA_Colon,0,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r185_BAG_L1
277,RandomForest,OVA_Colon,0,RandomForest_c1_BAG_L1,RandomForest_r163_BAG_L1
278,XGBoost,OVA_Colon,0,XGBoost_c1_BAG_L1,XGBoost_r99_BAG_L1
279,NeuralNetFastAI,OVA_Colon,0,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r162_BAG_L1
280,CatBoost,OVA_Colon,1,CatBoost_c1_BAG_L1,CatBoost_r167_BAG_L1
281,LightGBM,OVA_Colon,1,LightGBM_c1_BAG_L1,LightGBM_r32_BAG_L1
282,LinearModel,OVA_Colon,1,LinearModel_c1_BAG_L1,LinearModel_r35_BAG_L1
283,NeuralNetTorch,OVA_Colon,1,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r189_BAG_L1
284,RandomForest,OVA_Colon,1,RandomForest_c1_BAG_L1,RandomForest_r117_BAG_L1
285,XGBoost,OVA_Colon,1,XGBoost_c1_BAG_L1,XGBoost_r104_BAG_L1
286,NeuralNetFastAI,OVA_Colon,1,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r163_BAG_L1
287,CatBoost,OVA_Colon,2,CatBoost_c1_BAG_L1,CatBoost_r64_BAG_L1
288,LightGBM,OVA_Colon,2,LightGBM_c1_BAG_L1,LightGBM_r70_BAG_L1
289,LinearModel,OVA_Colon,2,LinearModel_c1_BAG_L1,LinearModel_r17_BAG_L1
290,NeuralNetTorch,OVA_Colon,2,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r69_BAG_L1
291,RandomForest,OVA_Colon,2,RandomForest_c1_BAG_L1,RandomForest_r17_BAG_L1
292,XGBoost,OVA_Colon,2,XGBoost_c1_BAG_L1,XGBoost_r109_BAG_L1
293,NeuralNetFastAI,OVA_Colon,2,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r112_BAG_L1
294,CatBoost,OVA_Endometrium,0,CatBoost_c1_BAG_L1,CatBoost_r78_BAG_L1
295,LightGBM,OVA_Endometrium,0,LightGBM_c1_BAG_L1,LightGBM_r164_BAG_L1
296,LinearModel,OVA_Endometrium,0,LinearModel_c1_BAG_L1,LinearModel_r31_BAG_L1
297,NeuralNetTorch,OVA_Endometrium,0,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r50_BAG_L1
298,RandomForest,OVA_Endometrium,0,RandomForest_c1_BAG_L1,RandomForest_r174_BAG_L1
299,XGBoost,OVA_Endometrium,0,XGBoost_c1_BAG_L1,XGBoost_r191_BAG_L1
300,NeuralNetFastAI,OVA_Endometrium,0,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r4_BAG_L1
301,CatBoost,OVA_Endometrium,1,CatBoost_c1_BAG_L1,CatBoost_r191_BAG_L1
302,LightGBM,OVA_Endometrium,1,LightGBM_c1_BAG_L1,LightGBM_r95_BAG_L1
303,LinearModel,OVA_Endometrium,1,LinearModel_c1_BAG_L1,LinearModel_r46_BAG_L1
304,NeuralNetTorch,OVA_Endometrium,1,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r142_BAG_L1
305,RandomForest,OVA_Endometrium,1,RandomForest_c1_BAG_L1,RandomForest_r100_BAG_L1
306,XGBoost,OVA_Endometrium,1,XGBoost_c1_BAG_L1,XGBoost_r93_BAG_L1
307,NeuralNetFastAI,OVA_Endometrium,1,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r165_BAG_L1
308,CatBoost,OVA_Endometrium,2,CatBoost_c1_BAG_L1,CatBoost_r17_BAG_L1
309,LightGBM,OVA_Endometrium,2,LightGBM_c1_BAG_L1,LightGBM_r77_BAG_L1
310,LinearModel,OVA_Endometrium,2,LinearModel_c1_BAG_L1,LinearModel_r4_BAG_L1
311,NeuralNetTorch,OVA_Endometrium,2,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r41_BAG_L1
312,RandomForest,OVA_Endometrium,2,RandomForest_c1_BAG_L1,RandomForest_r117_BAG_L1
313,XGBoost,OVA_Endometrium,2,XGBoost_c1_BAG_L1,XGBoost_r3_BAG_L1
314,NeuralNetFastAI,OVA_Endometrium,2,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r27_BAG_L1
315,CatBoost,OVA_Kidney,0,CatBoost_c1_BAG_L1,CatBoost_r86_BAG_L1
316,LightGBM,OVA_Kidney,0,LightGBM_c1_BAG_L1,LightGBM_r107_BAG_L1
317,LinearModel,OVA_Kidney,0,LinearModel_c1_BAG_L1,LinearModel_r36_BAG_L1
318,NeuralNetTorch,OVA_Kidney,0,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r98_BAG_L1
319,RandomForest,OVA_Kidney,0,RandomForest_c1_BAG_L1,RandomForest_r100_BAG_L1
320,XGBoost,OVA_Kidney,0,XGBoost_c1_BAG_L1,XGBoost_r55_BAG_L1
321,NeuralNetFastAI,OVA_Kidney,0,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r63_BAG_L1
322,CatBoost,OVA_Kidney,1,CatBoost_c1_BAG_L1,CatBoost_r197_BAG_L1
323,LightGBM,OVA_Kidney,1,LightGBM_c1_BAG_L1,LightGBM_r39_BAG_L1
324,LinearModel,OVA_Kidney,1,LinearModel_c1_BAG_L1,LinearModel_r20_BAG_L1
325,NeuralNetTorch,OVA_Kidney,1,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r150_BAG_L1
326,RandomForest,OVA_Kidney,1,RandomForest_c1_BAG_L1,RandomForest_r178_BAG_L1
327,XGBoost,OVA_Kidney,1,XGBoost_c1_BAG_L1,XGBoost_r154_BAG_L1
328,NeuralNetFastAI,OVA_Kidney,1,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r58_BAG_L1
329,CatBoost,OVA_Kidney,2,CatBoost_c1_BAG_L1,CatBoost_r139_BAG_L1
330,LightGBM,OVA_Kidney,2,LightGBM_c1_BAG_L1,LightGBM_r13_BAG_L1
331,LinearModel,OVA_Kidney,2,LinearModel_c1_BAG_L1,LinearModel_r50_BAG_L1
332,NeuralNetTorch,OVA_Kidney,2,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r185_BAG_L1
333,RandomForest,OVA_Kidney,2,RandomForest_c1_BAG_L1,RandomForest_r133_BAG_L1
334,XGBoost,OVA_Kidney,2,XGBoost_c1_BAG_L1,XGBoost_r196_BAG_L1
335,NeuralNetFastAI,OVA_Kidney,2,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r4_BAG_L1
336,CatBoost,OVA_Lung,0,CatBoost_c1_BAG_L1,CatBoost_r119_BAG_L1
337,LightGBM,OVA_Lung,0,LightGBM_c1_BAG_L1,LightGBM_r118_BAG_L1
338,LinearModel,OVA_Lung,0,LinearModel_c1_BAG_L1,LinearModel_r44_BAG_L1
339,NeuralNetTorch,OVA_Lung,0,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r98_BAG_L1
340,RandomForest,OVA_Lung,0,RandomForest_c1_BAG_L1,RandomForest_r133_BAG_L1
341,XGBoost,OVA_Lung,0,XGBoost_c1_BAG_L1,XGBoost_r3_BAG_L1
342,NeuralNetFastAI,OVA_Lung,0,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r115_BAG_L1
343,CatBoost,OVA_Lung,1,CatBoost_c1_BAG_L1,CatBoost_r19_BAG_L1
344,LightGBM,OVA_Lung,1,LightGBM_c1_BAG_L1,LightGBM_r77_BAG_L1
345,LinearModel,OVA_Lung,1,LinearModel_c1_BAG_L1,LinearModel_r8_BAG_L1
346,NeuralNetTorch,OVA_Lung,1,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r24_BAG_L1
347,RandomForest,OVA_Lung,1,RandomForest_c1_BAG_L1,RandomForest_r110_BAG_L1
348,XGBoost,OVA_Lung,1,XGBoost_c1_BAG_L1,XGBoost_r182_BAG_L1
349,NeuralNetFastAI,OVA_Lung,1,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r162_BAG_L1
350,CatBoost,OVA_Lung,2,CatBoost_c1_BAG_L1,CatBoost_r12_BAG_L1
351,LightGBM,OVA_Lung,2,LightGBM_c1_BAG_L1,LightGBM_r26_BAG_L1
352,LinearModel,OVA_Lung,2,LinearModel_c1_BAG_L1,LinearModel_r36_BAG_L1
353,NeuralNetTorch,OVA_Lung,2,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r181_BAG_L1
354,RandomForest,OVA_Lung,2,RandomForest_c1_BAG_L1,RandomForest_r141_BAG_L1
355,XGBoost,OVA_Lung,2,XGBoost_c1_BAG_L1,XGBoost_r109_BAG_L1
356,NeuralNetFastAI,OVA_Lung,2,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r196_BAG_L1
357,CatBoost,OVA_Ovary,0,CatBoost_c1_BAG_L1,CatBoost_r166_BAG_L1
358,LightGBM,OVA_Ovary,0,LightGBM_c1_BAG_L1,LightGBM_r52_BAG_L1
359,LinearModel,OVA_Ovary,0,LinearModel_c1_BAG_L1,LinearModel_r31_BAG_L1
360,NeuralNetTorch,OVA_Ovary,0,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r137_BAG_L1
361,RandomForest,OVA_Ovary,0,RandomForest_c1_BAG_L1,RandomForest_r100_BAG_L1
362,XGBoost,OVA_Ovary,0,XGBoost_c1_BAG_L1,XGBoost_r179_BAG_L1
363,NeuralNetFastAI,OVA_Ovary,0,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r116_BAG_L1
364,CatBoost,OVA_Ovary,1,CatBoost_c1_BAG_L1,CatBoost_r177_BAG_L1
365,LightGBM,OVA_Ovary,1,LightGBM_c1_BAG_L1,LightGBM_r141_BAG_L1
366,LinearModel,OVA_Ovary,1,LinearModel_c1_BAG_L1,LinearModel_r31_BAG_L1
367,NeuralNetTorch,OVA_Ovary,1,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r94_BAG_L1
368,RandomForest,OVA_Ovary,1,RandomForest_c1_BAG_L1,RandomForest_r110_BAG_L1
369,XGBoost,OVA_Ovary,1,XGBoost_c1_BAG_L1,XGBoost_r97_BAG_L1
370,NeuralNetFastAI,OVA_Ovary,1,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r41_BAG_L1
371,CatBoost,OVA_Ovary,2,CatBoost_c1_BAG_L1,CatBoost_r84_BAG_L1
372,LightGBM,OVA_Ovary,2,LightGBM_c1_BAG_L1,LightGBM_r13_BAG_L1
373,LinearModel,OVA_Ovary,2,LinearModel_c1_BAG_L1,LinearModel_r31_BAG_L1
374,NeuralNetTorch,OVA_Ovary,2,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r165_BAG_L1
375,RandomForest,OVA_Ovary,2,RandomForest_c1_BAG_L1,RandomForest_r163_BAG_L1
376,XGBoost,OVA_Ovary,2,XGBoost_c1_BAG_L1,XGBoost_r30_BAG_L1
377,NeuralNetFastAI,OVA_Ovary,2,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r125_BAG_L1
378,CatBoost,OVA_Prostate,0,CatBoost_c1_BAG_L1,CatBoost_r97_BAG_L1
379,LightGBM,OVA_Prostate,0,LightGBM_c1_BAG_L1,LightGBM_r165_BAG_L1
380,LinearModel,OVA_Prostate,0,LinearModel_c1_BAG_L1,LinearModel_r1_BAG_L1
381,NeuralNetTorch,OVA_Prostate,0,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r105_BAG_L1
382,RandomForest,OVA_Prostate,0,RandomForest_c1_BAG_L1,RandomForest_r126_BAG_L1
383,XGBoost,OVA_Prostate,0,XGBoost_c1_BAG_L1,XGBoost_r184_BAG_L1
384,NeuralNetFastAI,OVA_Prostate,0,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r124_BAG_L1
385,CatBoost,OVA_Prostate,1,CatBoost_c1_BAG_L1,CatBoost_r164_BAG_L1
386,LightGBM,OVA_Prostate,1,LightGBM_c1_BAG_L1,LightGBM_r68_BAG_L1
387,LinearModel,OVA_Prostate,1,LinearModel_c1_BAG_L1,LinearModel_r8_BAG_L1
388,NeuralNetTorch,OVA_Prostate,1,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r101_BAG_L1
389,RandomForest,OVA_Prostate,1,RandomForest_c1_BAG_L1,RandomForest_r180_BAG_L1
390,XGBoost,OVA_Prostate,1,XGBoost_c1_BAG_L1,XGBoost_r27_BAG_L1
391,NeuralNetFastAI,OVA_Prostate,1,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r116_BAG_L1
392,CatBoost,OVA_Prostate,2,CatBoost_c1_BAG_L1,CatBoost_r37_BAG_L1
393,LightGBM,OVA_Prostate,2,LightGBM_c1_BAG_L1,LightGBM_r197_BAG_L1
394,LinearModel,OVA_Prostate,2,LinearModel_c1_BAG_L1,LinearModel_r42_BAG_L1
395,NeuralNetTorch,OVA_Prostate,2,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r25_BAG_L1
396,RandomForest,OVA_Prostate,2,RandomForest_c1_BAG_L1,RandomForest_r180_BAG_L1
397,XGBoost,OVA_Prostate,2,XGBoost_c1_BAG_L1,XGBoost_r157_BAG_L1
398,NeuralNetFastAI,OVA_Prostate,2,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r154_BAG_L1
399,CatBoost,PhishingWebsites,0,CatBoost_c1_BAG_L1,CatBoost_r169_BAG_L1
400,LightGBM,PhishingWebsites,0,LightGBM_c1_BAG_L1,LightGBM_r162_BAG_L1
401,LinearModel,PhishingWebsites,0,LinearModel_c1_BAG_L1,LinearModel_r25_BAG_L1
402,NeuralNetTorch,PhishingWebsites,0,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r143_BAG_L1
403,RandomForest,PhishingWebsites,0,RandomForest_c1_BAG_L1,RandomForest_r126_BAG_L1
404,XGBoost,PhishingWebsites,0,XGBoost_c1_BAG_L1,XGBoost_r62_BAG_L1
405,NeuralNetFastAI,PhishingWebsites,0,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r138_BAG_L1
406,CatBoost,PhishingWebsites,1,CatBoost_c1_BAG_L1,CatBoost_r84_BAG_L1
407,LightGBM,PhishingWebsites,1,LightGBM_c1_BAG_L1,LightGBM_r133_BAG_L1
408,LinearModel,PhishingWebsites,1,LinearModel_c1_BAG_L1,LinearModel_r31_BAG_L1
409,NeuralNetTorch,PhishingWebsites,1,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r154_BAG_L1
410,RandomForest,PhishingWebsites,1,RandomForest_c1_BAG_L1,RandomForest_r126_BAG_L1
411,XGBoost,PhishingWebsites,1,XGBoost_c1_BAG_L1,XGBoost_r102_BAG_L1
412,NeuralNetFastAI,PhishingWebsites,1,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r103_BAG_L1
413,CatBoost,PhishingWebsites,2,CatBoost_c1_BAG_L1,CatBoost_r97_BAG_L1
414,LightGBM,PhishingWebsites,2,LightGBM_c1_BAG_L1,LightGBM_r67_BAG_L1
415,LinearModel,PhishingWebsites,2,LinearModel_c1_BAG_L1,LinearModel_r46_BAG_L1
416,NeuralNetTorch,PhishingWebsites,2,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r101_BAG_L1
417,RandomForest,PhishingWebsites,2,RandomForest_c1_BAG_L1,RandomForest_r109_BAG_L1
418,XGBoost,PhishingWebsites,2,XGBoost_c1_BAG_L1,XGBoost_r164_BAG_L1
419,NeuralNetFastAI,PhishingWebsites,2,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r109_BAG_L1
420,CatBoost,Run_or_walk_information,0,CatBoost_c1_BAG_L1,CatBoost_r43_BAG_L1
421,LightGBM,Run_or_walk_information,0,LightGBM_c1_BAG_L1,LightGBM_r150_BAG_L1
422,LinearModel,Run_or_walk_information,0,LinearModel_c1_BAG_L1,LinearModel_r30_BAG_L1
423,NeuralNetTorch,Run_or_walk_information,0,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r153_BAG_L1
424,RandomForest,Run_or_walk_information,0,RandomForest_c1_BAG_L1,RandomForest_r132_BAG_L1
425,XGBoost,Run_or_walk_information,0,XGBoost_c1_BAG_L1,XGBoost_r86_BAG_L1
426,NeuralNetFastAI,Run_or_walk_information,0,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r51_BAG_L1
427,CatBoost,Run_or_walk_information,1,CatBoost_c1_BAG_L1,CatBoost_r54_BAG_L1
428,LightGBM,Run_or_walk_information,1,LightGBM_c1_BAG_L1,LightGBM_r127_BAG_L1
429,LinearModel,Run_or_walk_information,1,LinearModel_c1_BAG_L1,LinearModel_r30_BAG_L1
430,NeuralNetTorch,Run_or_walk_information,1,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r22_BAG_L1
431,RandomForest,Run_or_walk_information,1,RandomForest_c1_BAG_L1,RandomForest_r119_BAG_L1
