dataset,fold,config,cal_size,test_size,base_logloss,base_brier,base_accuracy,base_ece-15,iso_logloss,iso_brier,iso_accuracy,iso_ece-15,iso_time,guo_ts_logloss,guo_ts_brier,guo_ts_accuracy,guo_ts_ece-15,guo_ts_time,prob_ts_logloss,prob_ts_brier,prob_ts_accuracy,prob_ts_ece-15,prob_ts_time,ts_logloss,ts_brier,ts_accuracy,ts_ece-15,ts_time,as_logloss,as_brier,as_accuracy,as_ece-15,as_time,qs_logloss,qs_brier,qs_accuracy,qs_ece-15,qs_time
pollen,0,RandomForest_r107_BAG_L1,3463,385,0.6959449052810669,0.5027740001678467,0.4935064911842346,0.05758634954690933,0.6918776294422996,0.49876376350005236,0.5038961172103882,0.011409502476453781,0.0010094580065924674,0.6934314966201782,0.5002952814102173,0.4935064911842346,0.01478676125407219,0.004315583995776251,0.6929747462272644,0.49982768297195435,0.4935064911842346,0.0012562572956085205,0.004176457994617522,0.6929759624848522,0.4998287937348017,0.4935064911842346,0.001256532734259963,0.0007479159976355731,0.6929755771141466,0.49982840877291773,0.4987013041973114,0.0014411548618227243,0.0022295409871730953,0.6941735499606434,0.5010219688611207,0.4961038827896118,0.0072961351834237576,0.0036332500021671876
pollen,0,XGBoost_r53_BAG_L1,3463,385,0.6943238973617554,0.5011760592460632,0.48831167817115784,0.0032553791534155607,0.6974102345706817,0.5042481277577487,0.4909090995788574,0.04043832793831825,0.0010365839989390224,0.6938595175743103,0.5007122159004211,0.48831167817115784,0.0012924671173095703,0.0011538749968167394,0.6939722895622253,0.5008247494697571,0.48831167817115784,0.003714059479534626,0.004155416987487115,0.6939782411673847,0.500830838908303,0.48831167817115784,0.006484142038971186,0.0006557500018971041,0.693972984179488,0.5008255846282111,0.4909090995788574,0.003783039515838027,0.002226415992481634,0.6941795779856027,0.501032307325924,0.48831167817115784,0.0018169658724218607,0.003825916995992884
pollen,0,NeuralNetFastAI_r168_BAG_L1,3463,385,0.6928287744522095,0.49967342615127563,0.5194805264472961,0.006959154270589352,0.6911537231407148,0.49798481639208997,0.5402597188949585,0.028510335832834244,0.0010049579868791625,0.6927506923675537,0.4996013641357422,0.5194805264472961,0.005524786654859781,0.0007927080005174503,0.6927984356880188,0.4996447265148163,0.5194805264472961,0.007705635391175747,0.0042196669965051115,0.6927992092014416,0.4996454689856098,0.5194805264472961,0.007713668514043093,0.0007130419980967417,0.6927940917486939,0.4996403189405603,0.5402597188949585,0.005759425926953554,0.0021990840032231063,0.6928018510342627,0.4996495050592027,0.5246753096580505,0.0028135813772678375,0.003704707996803336
pollen,1,CatBoost_r1_BAG_L1,3463,385,0.6950743198394775,0.5019223690032959,0.4987013041973114,0.005940772593021393,0.6982042767655139,0.5050168949076352,0.4935064911842346,0.03808872029185295,0.001066542012267746,0.6943371891975403,0.5011886358261108,0.4987013041973114,0.004440591670572758,0.0007854580035200343,0.6961960196495056,0.503033459186554,0.4987013041973114,0.020091183483600616,0.00410754099721089,0.6961661331788608,0.5030039863336209,0.4987013041973114,0.017276817932724953,0.0005715000006603077,0.6961846663575814,0.5030222676175485,0.4935064911842346,0.019689485430717468,0.00209762500890065,0.6961859663460579,0.503023535162472,0.4935064911842346,0.019621241837739944,0.0023097499943105504
pollen,1,LightGBM_r20_BAG_L1,3463,385,0.6924337148666382,0.4992869198322296,0.5402597188949585,0.001816481351852417,0.6928719228434035,0.4997140495648598,0.5376623272895813,0.020606137812137604,0.0009646249964134768,0.6926285624504089,0.4994814395904541,0.5402597188949585,0.0016438663005828857,0.0009931249951478094,0.6921656131744385,0.49901971220970154,0.5402597188949585,0.005455544218420982,0.004126333995372988,0.6921669788580281,0.4990210795229683,0.5402597188949585,0.005458529572933912,0.0005927080055698752,0.6921624339671606,0.4990165652345636,0.5454545617103577,0.0032665375620126724,0.002402583006187342,0.6921625955512524,0.4990167196513219,0.5454545617103577,0.0032834780868142843,0.0021742920071119443
pollen,1,LinearModel_r4_BAG_L1,3463,385,0.6926858425140381,0.4995386600494385,0.5142857432365417,0.0015768706798553467,0.693152039361109,0.5000048587973318,0.4987013041973114,0.002028798684477806,0.0009960000024875626,0.6927908658981323,0.4996436834335327,0.5142857432365417,0.0014842450618743896,0.001197582998429425,0.6931472420692444,0.5,0.501298725605011,0.0012986958026885986,0.004067917005158961,0.6948033700280912,0.5016548866984464,0.48571428656578064,0.0034637313801795244,0.000584916997468099,0.6948042541179035,0.5016557315031298,0.48051947355270386,0.0031241574324667454,0.0026483330002520233,0.6948043360084384,0.5016558134218041,0.48051947355270386,0.003113205311819911,0.0028997909976169467
pollen,1,NeuralNetTorch_r142_BAG_L1,3463,385,0.6967653036117554,0.5036038756370544,0.4545454680919647,0.012828320264816284,0.7027789968583541,0.5095758573104294,0.4701298773288727,0.0639130175113678,0.0010311249934602529,0.6953439712524414,0.5021930932998657,0.4545454680919647,0.01365016121417284,0.0007250829949043691,0.6979225873947144,0.5047462582588196,0.4545454680919647,0.02491474524140358,0.004179124996881001,0.6978839854006212,0.5047082675576511,0.4545454680919647,0.024119403213262558,0.000571333002881147,0.697887138601872,0.5047104640160699,0.4597402513027191,0.022206299006938934,0.0029015000036451966,0.6979631317403729,0.5047880752240651,0.4545454680919647,0.025812886655330658,0.0067769169982057065
pollen,1,RandomForest_r114_BAG_L1,3463,385,0.7327138185501099,0.5368772149085999,0.47792208194732666,0.1490398347377777,0.6947369766289789,0.5015890912720036,0.4675324559211731,0.0013247370952740312,0.000972416004515253,0.7081083059310913,0.5146649479866028,0.47792208194732666,0.09167071431875229,0.022164791997056454,0.6933358311653137,0.5001885890960693,0.47792208194732666,0.0012614428997039795,0.0041537919896654785,0.6933300384365884,0.500182860750854,0.47792208194732666,0.0012625664239749312,0.0007372079999186099,0.693333017765415,0.5001858403164035,0.4727272689342499,0.0014163979794830084,0.0023084170097718015,0.6933342839064806,0.500187106070939,0.4727272689342499,0.0014284796779975295,0.0030349580047186464
pollen,1,XGBoost_r193_BAG_L1,3463,385,0.6940069198608398,0.5008491277694702,0.4987013041973114,0.013704036362469196,0.6925353125497422,0.49938547229728436,0.516883134841919,0.004178846720606089,0.0012182500067865476,0.6934608221054077,0.500311017036438,0.4987013041973114,0.011230405420064926,0.0009581660124240443,0.6935358047485352,0.5003851056098938,0.4987013041973114,0.009723142720758915,0.004124583007069305,0.6935422290499276,0.5003914860173968,0.4987013041973114,0.00974385067820549,0.0006173330039018765,0.6935420962662316,0.5003913418476381,0.501298725605011,0.009680022485554218,0.002398208001977764,0.6936713034659491,0.5005187999999074,0.5116882920265198,0.015056170523166656,0.00273070800176356
pollen,1,NeuralNetFastAI_r173_BAG_L1,3463,385,0.6936342716217041,0.5004741549491882,0.48831167817115784,0.009643426164984703,0.6958598245399333,0.5025853573890164,0.501298725605011,0.036696985363960266,0.0009679170034360141,0.6932905912399292,0.5001398921012878,0.48831167817115784,0.002444204408675432,0.0013941669894848019,0.6936578750610352,0.5004969835281372,0.48831167817115784,0.009792352095246315,0.004699083001469262,0.6936572258695369,0.5004963435922968,0.48831167817115784,0.009787867777049541,0.0006130829860921949,0.6936615670470172,0.5004998144480647,0.48051947355270386,0.009158088825643063,0.001922250012285076,0.6940855824710093,0.5009125596695088,0.47792208194732666,0.012885202653706074,0.0032940000091912225
